,Model_ID,Model_Name,Mean_Residual_Deviance,RMSE,MSE,MAE,RMSLE
0,1,GBM_4_AutoML_20190416_233703,91662647000.09697,302758.39707611245,91662647000.09697,171470.70486375078,0.20427429366157965
1,2,GBM_2_AutoML_20190416_233703,91903489069.51016,303155.88245902496,91903489069.51016,171952.83344862802,0.2050536046841485
2,3,GBM_3_AutoML_20190416_233703,92203385122.8079,303650.1031167417,92203385122.8079,171105.73679580895,0.2035802476882636
3,4,GBM_1_AutoML_20190416_233703,93506370062.03604,305788.1130162453,93506370062.03604,173001.13303279073,0.2063226097947483
4,5,GBM_5_AutoML_20190416_233703,96805005820.07236,311135.0282756225,96805005820.07236,176070.71872318554,0.20874062965638188
5,6,DRF_1_AutoML_20190416_233703,97719596153.04504,312601.33741403767,97719596153.04504,174593.6404900348,0.20717699534122627
6,7,DeepLearning_1_AutoML_20190416_233703,103002008591.7968,320939.25997265714,103002008591.7968,184821.24717729734,0.2194514465615607
7,8,XRT_1_AutoML_20190416_233703,106073602027.1399,325689.4257220211,106073602027.1399,185191.9356893085,0.22140928301044085
8,9,DeepLearning_grid_1_AutoML_20190416_233703_model_1,159856091558.20395,399820.07398103963,159856091558.20395,250485.14457174268,
9,10,GBM_grid_1_AutoML_20190416_233703_model_1,296232230062.6045,544272.2021770031,296232230062.6045,368957.6163865256,0.4305414803748664
10,11,StackedEnsemble_AllModels_AutoML_20190416_233703,415597783707.36456,644668.7395146166,415597783707.36456,451488.3518286547,0.5177374121463975
11,12,StackedEnsemble_BestOfFamily_AutoML_20190416_233703,420700236715.921,648614.0892055314,420700236715.921,454605.2140287815,0.5212338193602453
12,13,GLM_grid_1_AutoML_20190416_233703_model_1,424342881455.3568,651416.0586409862,424342881455.3568,456793.93580937217,0.5237128734086068
0,14,GBM_1_AutoML_20190417_092107,91480098198.52124,302456.7707929866,91480098198.52124,171897.6913262141,0.2060783940548172
1,15,GBM_grid_1_AutoML_20190417_092107_model_1,91580961247.10696,302623.4644688131,91580961247.10696,171073.44897693905,0.20361092051015856
2,16,GBM_1_AutoML_20190417_103626,92515958471.4362,304164.36094887287,92515958471.4362,172391.02391238452,0.20572031491132825
3,17,GBM_2_AutoML_20190417_092107,93072106068.22427,305077.2132890693,93072106068.22427,172841.6196656181,0.20612559355544927
4,18,GBM_2_AutoML_20190417_103626,93500292355.98012,305778.17508118553,93500292355.98012,173021.58894043285,0.20653646372430795
5,19,GBM_4_AutoML_20190417_092107,93537117695.53027,305838.3849282661,93537117695.53027,173089.09008264734,0.20613169593365308
6,20,GBM_3_AutoML_20190417_103626,93744501909.25308,306177.2393716638,93744501909.25308,172498.36727053663,0.20573084410016249
7,21,GBM_3_AutoML_20190417_092107,93761420493.05254,306204.86686702503,93761420493.05254,172663.68526048318,0.2056035686225877
8,22,GBM_4_AutoML_20190417_103626,94047409536.24792,306671.5010173719,94047409536.24792,172980.41334324615,0.20580525789198287
